implementation,ef,recall,latency_p50_ms,latency_p95_ms,qps
ours,16,0.816070,0.430,0.580,2322.0
faiss,16,0.810970,0.101,0.151,9101.5
ours,32,0.915040,0.687,0.857,1482.8
faiss,32,0.910850,0.168,0.212,6027.3
ours,64,0.970260,1.217,1.458,856.4
faiss,64,0.967420,0.305,0.358,3394.4
ours,128,0.991860,2.128,2.558,489.2
faiss,128,0.991240,0.595,0.729,1732.3
ours,256,0.997820,3.853,4.817,269.2
faiss,256,0.997600,1.102,1.312,932.5
