selectivity,strategy,parameter,param_value,recall,latency_p50_ms,latency_p95_ms,mean_latency_ms
0.1%,pre_filter,none,none,1.000000,0.617,0.671,0.623
0.1%,post_filter,oversample_factor,5,0.004900,1.017,1.242,0.991
0.1%,post_filter,oversample_factor,10,0.009800,1.790,2.092,1.711
0.1%,post_filter,oversample_factor,20,0.019900,3.212,3.839,3.076
0.1%,post_filter,oversample_factor,50,0.051000,7.046,8.569,6.759
0.1%,predicate_aware,ef,16,0.999800,112.316,163.194,113.762
0.1%,predicate_aware,ef,32,0.999900,206.978,274.670,207.589
0.1%,predicate_aware,ef,64,0.999900,395.085,474.970,391.442
0.1%,predicate_aware,ef,128,0.999900,762.823,889.594,760.063
0.1%,predicate_aware,ef,256,0.999900,1564.813,1729.258,1557.596
0.1%,faiss_post_filter,oversample_factor,5,0.004900,0.284,0.341,0.278
0.1%,faiss_post_filter,oversample_factor,10,0.009600,0.524,0.605,0.504
0.1%,faiss_post_filter,oversample_factor,20,0.019700,0.954,1.131,0.933
0.1%,faiss_post_filter,oversample_factor,50,0.051400,2.413,2.878,2.358
1%,pre_filter,none,none,1.000000,2.570,2.930,2.606
1%,post_filter,oversample_factor,5,0.044900,1.009,1.267,0.990
1%,post_filter,oversample_factor,10,0.092200,1.759,2.056,1.682
1%,post_filter,oversample_factor,20,0.190400,3.226,3.824,3.080
1%,post_filter,oversample_factor,50,0.489000,7.179,8.714,6.923
1%,predicate_aware,ef,16,0.996400,16.779,26.189,17.220
1%,predicate_aware,ef,32,0.999400,30.882,43.263,30.780
1%,predicate_aware,ef,64,0.999900,55.810,73.657,54.908
1%,predicate_aware,ef,128,1.000000,98.904,125.130,97.155
1%,predicate_aware,ef,256,1.000000,177.612,217.930,176.085
1%,faiss_post_filter,oversample_factor,5,0.045000,0.278,0.323,0.268
1%,faiss_post_filter,oversample_factor,10,0.094300,0.585,0.657,0.561
1%,faiss_post_filter,oversample_factor,20,0.192600,0.959,1.129,0.935
1%,faiss_post_filter,oversample_factor,50,0.491400,2.390,2.867,2.329
5%,pre_filter,none,none,1.000000,10.619,11.123,10.620
5%,post_filter,oversample_factor,5,0.249500,1.048,1.296,1.030
5%,post_filter,oversample_factor,10,0.489100,1.830,2.207,1.760
5%,post_filter,oversample_factor,20,0.858600,3.213,3.811,3.071
5%,post_filter,oversample_factor,50,0.992600,7.299,8.896,7.021
5%,predicate_aware,ef,16,0.983600,4.615,6.980,4.623
5%,predicate_aware,ef,32,0.996200,8.259,11.771,8.165
5%,predicate_aware,ef,64,0.999300,14.761,20.322,14.474
5%,predicate_aware,ef,128,0.999900,26.973,34.750,26.093
5%,predicate_aware,ef,256,0.999900,46.988,59.509,45.887
5%,faiss_post_filter,oversample_factor,5,0.248500,0.328,0.370,0.316
5%,faiss_post_filter,oversample_factor,10,0.491600,0.518,0.592,0.496
5%,faiss_post_filter,oversample_factor,20,0.860700,0.952,1.128,0.930
5%,faiss_post_filter,oversample_factor,50,0.992200,2.384,2.850,2.319
10%,pre_filter,none,none,1.000000,20.054,21.079,20.111
10%,post_filter,oversample_factor,5,0.494900,1.050,1.286,1.023
10%,post_filter,oversample_factor,10,0.855300,1.836,2.154,1.761
10%,post_filter,oversample_factor,20,0.979100,3.295,3.932,3.157
10%,post_filter,oversample_factor,50,0.997200,7.344,9.020,7.041
10%,predicate_aware,ef,16,0.967000,2.534,3.755,2.563
10%,predicate_aware,ef,32,0.993500,4.792,6.595,4.723
10%,predicate_aware,ef,64,0.998800,8.562,11.421,8.365
10%,predicate_aware,ef,128,0.999500,15.027,20.170,14.671
10%,predicate_aware,ef,256,0.999700,27.505,34.830,26.636
10%,faiss_post_filter,oversample_factor,5,0.496000,0.327,0.368,0.315
10%,faiss_post_filter,oversample_factor,10,0.851600,0.517,0.588,0.492
10%,faiss_post_filter,oversample_factor,20,0.976800,0.961,1.133,0.940
10%,faiss_post_filter,oversample_factor,50,0.997200,2.451,2.953,2.398
25%,pre_filter,none,none,1.000000,41.473,43.593,41.437
25%,post_filter,oversample_factor,5,0.876300,1.063,1.338,1.047
25%,post_filter,oversample_factor,10,0.965100,1.785,2.103,1.710
25%,post_filter,oversample_factor,20,0.990900,3.271,3.880,3.131
25%,post_filter,oversample_factor,50,0.999300,7.314,8.882,7.018
25%,predicate_aware,ef,16,0.924800,1.206,1.696,1.195
25%,predicate_aware,ef,32,0.977000,2.182,2.903,2.148
25%,predicate_aware,ef,64,0.994700,4.000,5.193,3.881
25%,predicate_aware,ef,128,0.999300,7.137,8.989,6.892
25%,predicate_aware,ef,256,0.999600,12.692,16.104,12.324
25%,faiss_post_filter,oversample_factor,5,0.872400,0.286,0.358,0.282
25%,faiss_post_filter,oversample_factor,10,0.959400,0.524,0.596,0.501
25%,faiss_post_filter,oversample_factor,20,0.990000,0.963,1.149,0.939
25%,faiss_post_filter,oversample_factor,50,0.998400,2.391,2.868,2.332
50%,pre_filter,none,none,1.000000,76.522,84.067,77.198
50%,post_filter,oversample_factor,5,0.922200,1.062,1.319,1.038
50%,post_filter,oversample_factor,10,0.974700,1.843,2.160,1.764
50%,post_filter,oversample_factor,20,0.994000,3.349,3.976,3.197
50%,post_filter,oversample_factor,50,0.999000,7.265,8.829,6.975
50%,predicate_aware,ef,16,0.866400,0.765,1.017,0.756
50%,predicate_aware,ef,32,0.946500,1.294,1.639,1.263
50%,predicate_aware,ef,64,0.984300,2.294,2.852,2.219
50%,predicate_aware,ef,128,0.996400,4.067,5.103,3.930
50%,predicate_aware,ef,256,0.999200,7.496,9.218,7.169
50%,faiss_post_filter,oversample_factor,5,0.918300,0.317,0.364,0.308
50%,faiss_post_filter,oversample_factor,10,0.974200,0.521,0.603,0.502
50%,faiss_post_filter,oversample_factor,20,0.994000,0.985,1.157,0.958
50%,faiss_post_filter,oversample_factor,50,0.999100,2.519,2.979,2.458
